재활용센터명,재활용센터운영구분,소재지도로명주소,소재지지번주소,위도,경도,면적,설립연월,차량보유대수,주요취급품목정보,운영기관명,운영기관전화번호,운영기관대표자명,평일운영시작시각,평일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,휴무일정보,애프터서비스정보,홈페이지주소,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
통영시 재활용품 상설판매장(운영중단),위탁,경상남도 통영시 동충1길 4(항남동),경상남도 통영시 항남동 151-54,34.83982251,128.4221417,263,2021-05,1,의류+가방+신발+재활용비누+장난감+잡화 등,통영YWCA,055-646-2548,원필숙,09:00,18:00,09:00,18:00,공휴일,,http://tyywca.or.kr,055-650-1313,경상남도 통영시청,2026-05-07,5330000,경상남도 통영시
구미시 재활용품 전시판매장,위탁,경상북도 구미시 신시로10길 118,경상북도 구미시 송정동 492-7,36.114273,128.351282,626.7,1996-01,1,가전+가구,(사)한국생활자원 재활용협의회,054-455-3272,이석현,09:00,18:00,09:00,18:00,연중무휴,판매일로부터 3개월이내 무상수리,,054-480-5222,경상북도 구미시청,2026-04-14,5080000,경상북도 구미시
장흥군그린환경센터,위탁,전라남도 장흥군 부산면 덕정길 206,전라남도 장흥군 부산면 부춘리 95,34.70880038,126.9210733,480,2011-12,2,종이+필름+플라스틱+캔+병+발포합성수지류,장흥지역자활센터,061-862-8266,위수미,09:00,18:00,00:00,00:00,토+일+공휴일,,www.jangheung.go.kr,061-860-7834,전라남도 장흥군청,2026-04-14,5860000,전남광주통합특별시 장흥군
진천·음성 광역폐기물 재활용선별시설,위탁,충청북도 음성군 맹동면 원중로 778,충청북도 음성군 맹동면 통동리 산 20,36.89169028,127.5886355,1886.13,2023-01,3,철캔+알루미늄캔+병+플라스틱+폐지+스티로폼+필름,명민산업㈜,043-870-4220,오현숙,08:00,17:00,00:00,00:00,일+공휴일,,,043-539-7722,충청북도 진천군청 식산업자원과,2026-06-26,4450000,충청북도 진천군
가평군재활용선별장,직영,경기도 가평군 가평읍 경춘로 1639-50,,37.793407,127.466351,6933,2025-01,5,"알루미늄캔+양은+스텐레스+투명페트병+혼합페트병+스티로폼+소주병+맥주병+파병(백색,갈색,청색)+고철+매트리스스프링+철캔+종이팩+소형전자제품+폐지+혼합플라스틱+고무파통",가평군 자원순환센터,031-580-2533,,08:40,17:40,00:00,00:00,토요일+일요일+공휴일,,,031-580-2533,경기도 가평군청,2026-05-26,4160000,경기도 가평군
안산시재활용선별센터,위탁,경기도 안산시 단원구 첨단로 696 (초지동),,37.29611618,126.79681004,8313.87,2008-01,7,플라스틱+스티로폼+병류+고철+알루미늄 캔 등,안산도시공사,,,08:00,18:00,08:00,17:00,,,,031-369-1583,경기도 안산시청,2026-05-12,3930000,경기도 안산시
평택에코센터 생활자원회수센터,위탁,경기도 평택시 고덕면 도시지원1길 91,경기도 평택시 고덕면 해창리 1266,37.0294541005,127.0145910206,4736.02,2019-11,64,파지+금속류+유리병류+플라스틱류+스티로폼 등,한솔제지㈜,,,08:00,17:00,00:00,00:00,"일요일, 공휴일",,,031-8024-3721,경기도 평택시청,2026-05-11,3910000,경기도 평택시
울주군 재활용품 선별장,직영,울산광역시 울주군 온산읍 화산로 113-11,울산광역시 울주군 온산읍 화산리 산 176-5,35.4194608,129.3287862,1432,1994-12,2,폐합성수지+종이류+플라스틱+고철+캔류,울산광역시 울주군청,052-204-2145,이순걸,08:00,17:00,00:00,00:00,토+일+법정공휴일,,,052-204-2145,울산광역시 울주군청,2026-05-25,3730000,울산광역시 울주군
대영기업순환자원(주),위탁,울산광역시 남구 여천로 174,울산광역시 남구 여천동 391-28,35.52604103,129.3528164,2288.29,1991-12,13,합성수지+파지+고철 외,대영기업순환자원(주),052-260-9944,정대도,08:00,17:30,08:00,17:30,토+일,,,052-241-7812,울산광역시 북구청,2026-06-21,3720000,울산광역시 북구
용정리 재활용선별장,직영,인천광역시 강화군 강화읍 해안북로 100,인천광역시 강화군 강화읍 용정리 878-1,37.74416922,126.5245616,542.86,2011-12,0,"재활용품(캔, 병, 플라스틱)",인천광역시 강화군청,032-930-3336,,09:00,18:00,00:00,00:00,공휴일,,,032-930-3573,인천광역시 강화군청,2026-06-15,3570000,인천광역시 강화군
