설치장소명,세부위치내용,시도명,시군구명,소재지도로명주소,소재지지번주소,위도,경도,수거품목명,수거함수량,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
항공스쿨,,경상남도,합천군,경상남도 합천군 용주면 황계폭포로 1239,경상남도 합천군 용주면 용지리 370-1,35.54663255,128.1146611,건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
농업기술센터,,경상남도,합천군,경상남도 합천군 용주면 고품부흥1길 7-3,경상남도 합천군 용주면 고품리 910-338,35.540296,128.084693,건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
용주초등학교,,경상남도,합천군,경상남도 합천군 용주면 황계폭포로 1146,경상남도 합천군 용주면 용지리 274,35.53943302,128.1146428,건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
용주면사무소,,경상남도,합천군,경상남도 합천군 용주면 황계폭포로 1154,경상남도 합천군 용주면 용지리 268-2,35.5405771,128.1135458,건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
봉기 경로당,,경상남도,합천군,경상남도 합천군 용주면 봉기길 26,경상남도 합천군 용주면 봉기리 748-151,35.54863756,128.0879804,형광등+건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
황계 경로당,,경상남도,합천군,경상남도 합천군 용주면 황계폭포로 484,경상남도 합천군 용주면 황계리 287-4,35.51150054,128.0806078,형광등+건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
공암 경로당,,경상남도,합천군,경상남도 합천군 용주면 공암1길 5,경상남도 합천군 용주면 공암리 131-3,35.50152578,128.1028206,형광등+건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
용지1구 경로당,,경상남도,합천군,경상남도 합천군 용주면 황계폭포로 1202,경상남도 합천군 용주면 용지리 346,35.5442272,128.1131891,형광등+건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
성리1구 쓰레기배출장,,경상남도,합천군,경상남도 합천군 대병면 황계폭포로 52,경상남도 합천군 대병면 성리 1188-2,35.52324714,128.0507611,건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
대병면사무소,,경상남도,합천군,경상남도 합천군 대병면 신성동길 23,경상남도 합천군 대병면 회양리 896-1,35.52143222,128.0147071,형광등+건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
외사경로당,,경상남도,합천군,경상남도 합천군 가회면 외사길 4,경상남도 합천군 가회면 외사리 609-3,35.42593851,128.0737621,형광등+건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
덕전경로당,,경상남도,합천군,경상남도 합천군 가회면 덕전길 5-2,경상남도 합천군 가회면 둔내리 1247-2,35.47772959,128.0095556,형광등+건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
대기경로당,,경상남도,합천군,경상남도 합천군 가회면 대기2길 7,경상남도 합천군 가회면 중촌리 416-6,35.46314027,128.001297,형광등+건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
구평경로당,,경상남도,합천군,경상남도 합천군 가회면 신등가회로 682,경상남도 합천군 가회면 함방리 646-4,35.41968863,128.0303908,형광등+건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
황매산오토캠핑장,,경상남도,합천군,경상남도 합천군 가회면 황매산공원길 331,경상남도 합천군 가회면 둔내리 산219-11,35.48163664,127.9820476,건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
가회면보건지소,,경상남도,합천군,경상남도 합천군 가회면 황매산로 58-12,경상남도 합천군 가회면 덕촌리 273,35.43670818,128.0344446,건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
합천가회우체국,,경상남도,합천군,경상남도 합천군 가회면 황매산로 54,경상남도 합천군 가회면 덕촌리 385-4,35.4353317,128.0337889,건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
합천새남부농협가회지점,,경상남도,합천군,경상남도 합천군 가회면 황매산로 30,경상남도 합천군 가회면 덕촌리 431-3,35.43368993,128.0343585,건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
가회중학교,,경상남도,합천군,경상남도 합천군 가회면 황매산로 62,경상남도 합천군 가회면 덕촌리 308-1,35.43643396,128.0323236,건전지,1,경상남도 합천군청,055-930-3304,2026-04-16,5480000,경상남도 합천군
